	premise	hypothesis	labels	preds	label	case
2120	I assure you that there would not be the least chance of your coming back alive .	your coming back alive	2	2	contradiction	a: within scope.
2123	You do not believe such nonsense as that ? " said I .	You do believe such nonsense as that	2	2	contradiction	a: within scope.
2124	You do not believe such nonsense as that ? " said I .	You do believe such nonsense as that ? " said I .	2	2	contradiction	b: cue-removed
2125	Yes , I should not be surprised to learn that what we have heard is the cry of the last of the bitterns . "	I should be surprised to learn that what we have heard is the cry of the last of the bitterns	2	2	contradiction	a: within scope.
2127	Yes , I should not be surprised to learn that what we have heard is the cry of the last of the bitterns . "	Yes , I should be surprised to learn that what we have heard is the cry of the last of the bitterns . "	2	2	contradiction	b: cue-removed
2129	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	one in particular has lived there since	2	2	contradiction	a: within scope.
2130	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	Prehistoric man lived thickly on the moor , and as one in particular has lived there since , we find all his little arrangements exactly as he left them .	2	2	contradiction	b: cue-removed
2132	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	as one in particular has lived there since , we find all his little arrangements exactly as he left them	2	2	contradiction	b: cue-removed
2134	To my dismay the creature flew straight for the great mire , and my acquaintance never paused for an instant , bounding from tuft to tuft behind it , his green net waving in the air .	my acquaintance paused for an instant	2	2	contradiction	a: within scope.
2136	To my dismay the creature flew straight for the great mire , and my acquaintance never paused for an instant , bounding from tuft to tuft behind it , his green net waving in the air .	my acquaintance paused for an instant , bounding from tuft to tuft behind it , his green net waving in the air	2	2	contradiction	b: cue-removed
2142	His gray clothes and jerky , zigzag , irregular progress made him not unlike some huge moth himself .	him unlike some huge moth himself	2	2	contradiction	a: within scope.
2144	I could not doubt that this was the Miss Stapleton of whom I had been told , since ladies of any sort must be few upon the moor , and I remembered that I had heard someone describe her as being a beauty .	I could doubt that this was the Miss Stapleton of whom I had been told	2	2	contradiction	a: within scope.
2154	There could not have been a greater contrast between brother and sister , for Stapleton was neutral tinted , with light hair and gray eyes , while she was darker than any brunette whom I have seen in Englandslim , elegant , and tall .	There could have been a greater contrast between brother and sister	2	2	contradiction	a: within scope.
2155	There could not have been a greater contrast between brother and sister , for Stapleton was neutral tinted , with light hair and gray eyes , while she was darker than any brunette whom I have seen in Englandslim , elegant , and tall .	There could have been a greater contrast between brother and sister , for Stapleton was neutral tinted , with light hair and gray eyes , while she was darker than any brunette whom I have seen in Englandslim , elegant , and tall .	2	2	contradiction	b: cue-removed
2160	" I can not explain . "	I can explain	2	2	contradiction	a: within scope.
2162	" I can not explain . "	` ` I can explain . "	2	2	contradiction	b: cue-removed
2164	Go back and never set foot upon the moor again . "	Go back and set foot upon the moor again . "	2	2	contradiction	b: cue-removed
2166	Not a word of what I have said .	I have said	2	2	contradiction	a: within scope.
2167	" Halloa , Beryl ! " said he , and it seemed to me that the tone of his greeting was not altogether a cordial one .	the tone of his greeting was altogether a cordial one	2	2	contradiction	a: within scope.
2168	" Halloa , Beryl ! " said he , and it seemed to me that the tone of his greeting was not altogether a cordial one .	` ` Halloa , Beryl ! " said he , and it seemed to me that the tone of his greeting was altogether a cordial one .	2	2	contradiction	b: cue-removed
2169	" Halloa , Beryl ! " said he , and it seemed to me that the tone of his greeting was not altogether a cordial one .	he , and it seemed to me that the tone of his greeting was altogether a cordial one	2	2	contradiction	b: cue-removed
2170	" Halloa , Beryl ! " said he , and it seemed to me that the tone of his greeting was not altogether a cordial one .	it seemed to me that the tone of his greeting was altogether a cordial one	2	2	contradiction	b: cue-removed
2171	" Why , you had not very much time for talk , " her brother remarked with the same questioning eyes .	you had very much time for talk	2	2	contradiction	a: within scope.
2172	" Why , you had not very much time for talk , " her brother remarked with the same questioning eyes .	` ` Why , you had very much time for talk , " her brother remarked with the same questioning eyes .	2	2	contradiction	b: cue-removed
2173	" It can not much matter to him whether it is early or late for the orchids .	It can much matter to him whether it is early or late for the orchids	2	2	contradiction	a: within scope.
2175	" It can not much matter to him whether it is early or late for the orchids .	` ` It can much matter to him whether it is early or late for the orchids .	2	2	contradiction	b: cue-removed
2178	" Quite happy , " said she , but there was no ring of conviction in her words .	there was ring of conviction in her words	2	2	contradiction	a: within scope.
2179	" Quite happy , " said she , but there was no ring of conviction in her words .	` ` Quite happy , " said she , but there was ring of conviction in her words .	2	2	contradiction	b: cue-removed
2180	It never recovered from the blow , and much of my capital was irretrievably swallowed up .	It recovered from the blow	2	2	contradiction	a: within scope.
2181	It never recovered from the blow , and much of my capital was irretrievably swallowed up .	It recovered from the blow , and much of my capital was irretrievably swallowed up .	2	2	contradiction	b: cue-removed
2188	Then on the top of these more or less vague impressions there had come the definite and distinct warning of Miss Stapleton , delivered with such intense earnestness that I could not doubt that some grave and deep reason lay behind it .	I could doubt that some grave and deep reason lay behind it	2	2	contradiction	a: within scope.
2190	" I had not even time to put on my hat .	I had even time to put on my hat	2	2	contradiction	a: within scope.
2192	" I had not even time to put on my hat .	` ` I had even time to put on my hat .	2	2	contradiction	b: cue-removed
2194	I must not stop , or my brother may miss me .	I must stop	2	2	contradiction	a: within scope.
2195	I must not stop , or my brother may miss me .	I must stop , or my brother may miss me .	2	2	contradiction	b: cue-removed
2197	Please forget the words I said , which have no application whatever to you . "	Please forget the words I said , which have application whatever to you . "	2	2	contradiction	b: cue-removed
2199	" But I can not forget them , Miss Stapleton , " said I .	I can forget them	2	2	contradiction	a: within scope.
2200	" But I can not forget them , Miss Stapleton , " said I .	` But I can forget them , Miss Stapleton	2	2	contradiction	b: cue-removed
2202	" But I can not forget them , Miss Stapleton , " said I .	But I can forget them , Miss Stapleton	2	2	contradiction	b: cue-removed
2204	When you know me better you will understand that I can not always give reasons for what I say or do . "	I can always give reasons for what I say or do	2	2	contradiction	a: within scope.
2206	When you know me better you will understand that I can not always give reasons for what I say or do . "	When you know me better you will understand that I can always give reasons for what I say or do . "	2	2	contradiction	b: cue-removed
2210	Life has become like that great Grimpen Mire , with little green patches everywhere into which one may sink and with no guide to point the track .	one may sink and with guide to point the track	2	2	contradiction	b: cue-removed
2212	" I do not believe in such nonsense . "	I do believe in such nonsense	2	2	contradiction	a: within scope.
2214	" I do not believe in such nonsense . "	` ` I do believe in such nonsense . "	2	2	contradiction	b: cue-removed
2216	" I can not say anything definite , for I do not know anything definite . "	I do know anything definite	2	2	contradiction	a: within scope.
2217	" I can not say anything definite , for I do not know anything definite . "	` ` I can say anything definite , for I do know anything definite . "	2	2	contradiction	b: cue-removed
2219	" I can not say anything definite , for I do not know anything definite . "	for I do know anything definite	2	2	contradiction	b: cue-removed
2220	" I can not say anything definite , for I do not know anything definite . "	I can say anything definite	2	2	contradiction	a: within scope.
2223	If you meant no more than this when you first spoke to me , why should you not wish your brother to overhear what you said ?	you meant more than this when you first spoke to me	2	2	contradiction	a: within scope.
2228	But I have done my duty now and I will say no more .	I will say more	2	2	contradiction	a: within scope.
2229	But I have done my duty now and I will say no more .	But I have done my duty w and I will say more .	2	2	contradiction	b: cue-removed
2231	I am no antiquarian , but I could imagine that they were some unwarlike and harried race who were forced to accept that which none other would occupy .	I am antiquarian	2	2	contradiction	a: within scope.
2236	If you have not had any report within the last few days it is because up to today there was nothing of importance to relate .	you have had some report within the last few days	2	2	contradiction	a: within scope.
2237	If you have not had any report within the last few days it is because up to today there was nothing of importance to relate .	If you have had some report within the last few days it is because up to today there was hing of importance to relate .	2	2	contradiction	b: cue-removed
2239	A fortnight has passed since his flight , during which he has not been seen and nothing has been heard of him .	he has been seen	2	2	contradiction	a: within scope.
2240	A fortnight has passed since his flight , during which he has not been seen and nothing has been heard of him .	A fortnight has passed since his flight , during which he has been seen and hing has been heard of him .	2	2	contradiction	b: cue-removed
2242	Of course , so far as his concealment goes there is no difficulty at all .	there is difficulty at all	2	2	contradiction	a: within scope.
2243	Of course , so far as his concealment goes there is no difficulty at all .	Of course , so far as his concealment goes there is difficulty at all .	2	2	contradiction	b: cue-removed
2245	There are one maid , an old manservant , the sister , and the brother , the latter not a very strong man .	There are one maid , an old manservant , the sister , and the brother , the latter a very strong man .	2	2	contradiction	b: cue-removed
2246	Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	Stapleton would hear of it	2	2	contradiction	a: within scope.
2249	Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	it was suggested that Perkins the groom should go over to sleep there , but Stapleton would hear of it	2	2	contradiction	b: cue-removed
2253	It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	It is to be wondered at	2	2	contradiction	a: within scope.
2254	It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	It is to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	2	2	contradiction	b: cue-removed
2256	Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	he would express his whole opinion out of consideration for the feelings of the baronet	2	2	contradiction	a: within scope.
2259	Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	it was easy to see that he said less than he might , and that he would express his whole opinion out of consideration for the feelings of the baronet	2	2	contradiction	b: cue-removed
2262	From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	the feeling was mutual	2	2	contradiction	a: within scope.
2267	He referred to her again and again on our walk home , and since then hardly a day has passed that we have not seen something of the brother and sister .	we have seen something of the brother and sister	2	2	contradiction	a: within scope.
2271	Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	he does wish their intimacy to ripen into love	2	2	contradiction	a: within scope.
2272	Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	Yet I am certain that he does wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete a tete .	2	2	contradiction	b: cue-removed
2273	Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	Yet I am certain that he does wish their intimacy to ripen into love	2	2	contradiction	b: cue-removed
2274	Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	I am certain that he does wish their intimacy to ripen into love	2	2	contradiction	b: cue-removed
2279	He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is no wonder that he has found it a costly amusement .	it is wonder that he has found it a costly amusement	2	2	contradiction	a: within scope.
2283	I have already explained that the testimony of the postmaster shows that the test was worthless and that we have no proof one way or the other .	we have proof one way or the other	2	2	contradiction	a: within scope.
2287	" I could not quite understand the object of your questions this morning , Sir Henry , " said he .	I could quite understand the object of your questions this morning	2	2	contradiction	a: within scope.
2288	" I could not quite understand the object of your questions this morning , Sir Henry , " said he .	` ` I could quite understand the object of your questions this morning , Sir Henry , " said he .	2	2	contradiction	b: cue-removed
2289	" I could not quite understand the object of your questions this morning , Sir Henry , " said he .	` I could quite understand the object of your questions this morning , Sir Henry	2	2	contradiction	b: cue-removed
2291	" I could not quite understand the object of your questions this morning , Sir Henry , " said he .	I could quite understand the object of your questions this morning , Sir Henry	2	2	contradiction	b: cue-removed
2293	" I trust that they do not mean that I have done anything to forfeit your confidence ? "	they do mean that I have done anything to forfeit your confidence	2	2	contradiction	a: within scope.
2294	" I trust that they do not mean that I have done anything to forfeit your confidence ? "	I have done anything to forfeit your confidence	2	2	contradiction	a: within scope.
2295	" I trust that they do not mean that I have done anything to forfeit your confidence ? "	` ` I trust that they do mean that I have done anything to forfeit your confidence ? "	2	2	contradiction	b: cue-removed
2296	You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	I am a very sound sleeper	2	2	contradiction	a: within scope.
2297	You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	You are aware that I am a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	2	2	contradiction	b: cue-removed
2298	You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	You are aware that I am a very sound sleeper	2	2	contradiction	b: cue-removed
2301	He was in shirt and trousers , with no covering to his feet .	He was in shirt and trousers , with covering to his feet .	2	2	contradiction	b: cue-removed
2302	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	I could tell whence the sound came	2	2	contradiction	a: within scope.
2304	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could tell whence the sound came .	2	2	contradiction	b: cue-removed
2307	What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	What it all means I can guess	2	2	contradiction	a: within scope.
2308	What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	What it all means I can guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	2	2	contradiction	b: cue-removed
2313	I do not trouble you with my theories , for you asked me to furnish you only with facts .	I do trouble you with my theories	2	2	contradiction	a: within scope.
2314	I do not trouble you with my theories , for you asked me to furnish you only with facts .	I do trouble you with my theories , for you asked me to furnish you only with facts .	2	2	contradiction	b: cue-removed
2317	I will not speak about it just now , but it should make my next report interesting reading .	I will speak about it just now	2	2	contradiction	a: within scope.
2318	I will not speak about it just now , but it should make my next report interesting reading .	I will speak about it just now , but it should make my next report interesting reading .	2	2	contradiction	b: cue-removed
2320	Things have taken a turn which I could not have anticipated .	I could have anticipated	2	2	contradiction	a: within scope.
2321	Things have taken a turn which I could not have anticipated .	Things have taken a turn which I could have anticipated .	2	2	contradiction	b: cue-removed
2325	There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family .	it is evident that our friend has large ideas and means to spare pains or expense to restore the grandeur of his family	2	2	contradiction	b: cue-removed
2326	There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family .	our friend has large ideas and means to spare pains or expense to restore the grandeur of his family	2	2	contradiction	b: cue-removed
2327	Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	this will be wanting if the lady is willing	2	2	contradiction	a: within scope.
2328	Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	the lady is willing	2	2	contradiction	a: within scope.
2333	And yet the course of true love does not run quite as smoothly as one would under the circumstances expect .	the course of true love does run quite as smoothly as one would under the circumstances expect	2	2	contradiction	a: within scope.
2335	And yet the course of true love does not run quite as smoothly as one would under the circumstances expect .	And yet the course of true love does run quite as smoothly as one would under the circumstances expect .	2	2	contradiction	b: cue-removed
2336	I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . "	I should leave you	2	2	contradiction	a: within scope.
2340	I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . "	Holmes insisted that I should leave you , and especially that you should go alone upon the moor	2	2	contradiction	b: cue-removed
2342	I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . "	you should go alone upon the moor	2	2	contradiction	a: within scope.
2344	" My dear fellow , " said he , " Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor .	Holmes did foresee some things which have happened since I have been on the moor	2	2	contradiction	a: within scope.
2346	" My dear fellow , " said he , " Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor .	` ` My dear fellow , " said he , ` ` Holmes , with all his wisdom , did foresee some things which have happened since I have been on the moor .	2	2	contradiction	b: cue-removed
2347	" My dear fellow , " said he , " Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor .	he , ` ` Holmes , with all his wisdom , did foresee some things which have happened since I have been on the moor	2	2	contradiction	b: cue-removed
2348	It might not even now be too late to overtake him , so I set off at once in the direction of Merripit House .	It might even now be too late to overtake him	2	2	contradiction	a: within scope.
2349	It might not even now be too late to overtake him , so I set off at once in the direction of Merripit House .	It might even now be too late to overtake him , so I set off at once in the direction of Merripit House .	2	2	contradiction	b: cue-removed
2351	To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was for an instant to let him out of my sight .	2	2	contradiction	b: cue-removed
2353	To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	yet my clear duty was for an instant to let him out of my sight	2	2	contradiction	b: cue-removed
2354	To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	my clear duty was for an instant to let him out of my sight	2	2	contradiction	b: cue-removed
2355	Still , I could see no better course than to observe him from the hill , and to clear my conscience by confessing to him afterwards what I had done .	I could see better course than to observe him from the hill	2	2	contradiction	a: within scope.
2358	Our friend , Sir Henry , and the lady had halted on the path and were standing deeply absorbed in their conversation , when I was suddenly aware that I was not the only witness of their interview .	I was the only witness of their interview	2	2	contradiction	a: within scope.
2360	Our friend , Sir Henry , and the lady had halted on the path and were standing deeply absorbed in their conversation , when I was suddenly aware that I was not the only witness of their interview .	I was suddenly aware that I was the only witness of their interview	2	2	contradiction	b: cue-removed
2361	What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	What the scene meant I could imagine	2	2	contradiction	a: within scope.
2370	What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	What all this meant I could imagine	2	2	contradiction	a: within scope.
2375	" You do not mean to say that you came after me in spite of all ? "	You do mean to say that you came after me in spite of all	2	2	contradiction	a: within scope.
2377	" You do not mean to say that you came after me in spite of all ? "	` ` You do mean to say that you came after me in spite of all ? "	2	2	contradiction	b: cue-removed
2380	" I can not say that he ever did . "	I can say that he did	2	2	contradiction	a: within scope.
2382	" I can not say that he ever did . "	` ` I can say that he did . "	2	2	contradiction	b: cue-removed
2384	" I can not say that he ever did . "	he did	2	2	contradiction	a: within scope.
2385	" He can not object to my worldly position , so it must be myself that he has this down on .	He can object to my worldly position	2	2	contradiction	a: within scope.
2387	" He can not object to my worldly position , so it must be myself that he has this down on .	` He can object to my worldly position	2	2	contradiction	b: cue-removed
2389	" He can not object to my worldly position , so it must be myself that he has this down on .	` ` He can object to my worldly position , so it must be myself that he has this down on .	2	2	contradiction	b: cue-removed
2392	I never hurt man or woman in my life that I know of .	I hurt man or woman in my life	2	2	contradiction	a: within scope.
2393	I never hurt man or woman in my life that I know of .	I hurt man or woman in my life that I know of .	2	2	contradiction	b: cue-removed
2395	And yet he would not so much as let me touch the tips of her fingers . "	he would so much as let me touch the tips of her fingers	2	2	contradiction	a: within scope.
2396	And yet he would not so much as let me touch the tips of her fingers . "	me touch the tips of her fingers	2	2	contradiction	a: within scope.
2397	And yet he would not so much as let me touch the tips of her fingers . "	And yet he would so much as let me touch the tips of her fingers . "	2	2	contradiction	b: cue-removed
2398	And yet he would not so much as let me touch the tips of her fingers . "	let me touch the tips of her fingers	2	2	contradiction	a: within scope.
2399	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	he has let us get together	2	2	contradiction	a: within scope.
2400	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	us get together	2	2	contradiction	a: within scope.
2401	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	But he has let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	2	2	contradiction	b: cue-removed
2404	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	it was love that she would talk about	2	2	contradiction	a: within scope.
2405	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	she would talk about	2	2	contradiction	a: within scope.
2406	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	She was glad to meet me , but when she did it was love that she would talk about , and she would have let me talk about it either if she could have stopped it .	2	2	contradiction	b: cue-removed
2408	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	when she did it was love that she would talk about , and she would have let me talk about it either if she could have stopped it	2	2	contradiction	b: cue-removed
2412	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	she would have let me talk about it if she could have stopped it	2	2	contradiction	a: within scope.
2413	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it	2	2	contradiction	a: within scope.
2414	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	She was glad to meet me , but when she did it was love that she would talk about , and she would have let me talk about it if she could have stopped it .	2	2	contradiction	b: cue-removed
2415	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	when she did it was love that she would talk about , and she would have let me talk about it if she could have stopped it	2	2	contradiction	b: cue-removed
2416	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it if she could have stopped it	2	2	contradiction	a: within scope.
2417	She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	she would be happy until I had left it	2	2	contradiction	a: within scope.
2419	She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	She kept coming back to it that this was a place of danger , and that she would be happy until I had left it .	2	2	contradiction	b: cue-removed
2421	I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	I was in hurry to leave it	2	2	contradiction	a: within scope.
2423	I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	I had seen her I was in hurry to leave it	2	2	contradiction	b: cue-removed
2430	As it was I told him that my feelings towards his sister were such as I was not ashamed of , and that I hoped that she might honour me by becoming my wife .	I was ashamed of	2	2	contradiction	a: within scope.
2431	As it was I told him that my feelings towards his sister were such as I was not ashamed of , and that I hoped that she might honour me by becoming my wife .	As it was I told him that my feelings towards his sister were such as I was ashamed of , and that I hoped that she might honour me by becoming my wife .	2	2	contradiction	b: cue-removed
2432	As it was I told him that my feelings towards his sister were such as I was not ashamed of , and that I hoped that she might honour me by becoming my wife .	my feelings towards his sister were such as I was ashamed of	2	2	contradiction	b: cue-removed
2435	That seemed to make the matter no better , so then I lost my temper too , and I answered him rather more hotly than I should perhaps , considering that she was standing by .	That seemed to make the matter better	2	2	contradiction	a: within scope.
2436	That seemed to make the matter no better , so then I lost my temper too , and I answered him rather more hotly than I should perhaps , considering that she was standing by .	the matter better	2	2	contradiction	a: within scope.
2443	" I do not say now that he is not a crazy man , " said Sir Henry ; " I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . "	I do say now that he is a crazy man	2	2	contradiction	b: cue-removed
2455	" I do not say now that he is not a crazy man , " said Sir Henry ; " I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . "	he is a crazy man	2	2	contradiction	a: within scope.
2456	" I do not say now that he is not a crazy man , " said Sir Henry ; " I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . "	man could make a more handsome apology than he has done	2	2	contradiction	a: within scope.
2463	" I do not say now that he is not a crazy man , " said Sir Henry ; " I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . "	I must allow that man could make a more handsome apology than he has done	2	2	contradiction	b: cue-removed
2469	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	He had understood that I was becoming attached to her	2	2	contradiction	a: within scope.
2472	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	He had understood , he said , that I was becoming attached to her	2	2	contradiction	b: cue-removed
2481	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	he was responsible for what he said or did	2	2	contradiction	a: within scope.
2484	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	for a time he was responsible for what he said or did	2	2	contradiction	b: cue-removed
2485	Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	I have disappointed you as an agent	2	2	contradiction	a: within scope.
2486	Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	Congratulate me , my dear Holmes , and tell me that I have disappointed you as an agentthat you do regret the confidence which you showed in me when you sent me down .	2	2	contradiction	b: cue-removed
2487	Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	I have disappointed you as an agentthat you do regret the confidence which you showed in me when you sent me down	2	2	contradiction	b: cue-removed
2491	Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	you do regret the confidence which you showed in me when you sent me down	2	2	contradiction	a: within scope.
2494	Fortunately we were not discouraged , and we determined to try again .	we were discouraged	2	2	contradiction	a: within scope.
2495	Fortunately we were not discouraged , and we determined to try again .	Fortunately we were discouraged , and we determined to try again .	2	2	contradiction	b: cue-removed
2497	We had arranged no plan of campaign , but the baronet is a man to whom the most direct way is always the most natural .	We had arranged plan of campaign	2	2	contradiction	a: within scope.
2501	" I was doing no harm , sir .	I was doing harm	2	2	contradiction	a: within scope.
2502	" I was doing no harm , sir .	` ` I was doing harm , sir .	2	2	contradiction	b: cue-removed
2503	I give you my word , sir , that it is not my secret , and that I can not tell it .	it is my secret	2	2	contradiction	a: within scope.
2504	I give you my word , sir , that it is not my secret , and that I can not tell it .	I give you my word , sir , that it is my secret , and that I can tell it .	2	2	contradiction	b: cue-removed
2506	I give you my word , sir , that it is not my secret , and that I can not tell it .	I can tell it	2	2	contradiction	a: within scope.
2508	If it concerned no one but myself I would not try to keep it from you . "	it concerned one but myself	2	2	contradiction	a: within scope.
2510	If it concerned no one but myself I would not try to keep it from you . "	I would try to keep it from you	2	2	contradiction	a: within scope.
2511	If it concerned no one but myself I would not try to keep it from you . "	If it concerned no one but myself I would try to keep it from you . "	2	2	contradiction	b: cue-removed
2513	" It is my business , and not yours .	It is yours	2	2	contradiction	a: within scope.
2514	" It is my business , and not yours .	` ` It is my business , and yours .	2	2	contradiction	b: cue-removed
2515	I will not tell . "	I will tell	2	2	contradiction	a: within scope.
2517	I will not tell . "	I will tell . "	2	2	contradiction	b: cue-removed
2520	We can not let him perish at our very gates .	We can let him perish at our very gates	2	2	contradiction	a: within scope.
2522	We can not let him perish at our very gates .	We can let him perish at our very gates .	2	2	contradiction	b: cue-removed
2524	We can not let him perish at our very gates .	him perish at our very gates	2	2	contradiction	a: within scope.
2525	" I said that it was not my secret and that I could not tell it to you .	it was my secret	2	2	contradiction	a: within scope.
2526	" I said that it was not my secret and that I could not tell it to you .	` ` I said that it was my secret and that I could tell it to you .	2	2	contradiction	b: cue-removed
2528	" I said that it was not my secret and that I could not tell it to you .	I could tell it to you	2	2	contradiction	a: within scope.
2530	But now you have heard it , and you will see that if there was a plot it was not against you . "	it was against you	2	2	contradiction	a: within scope.
